0	0	0	0	0	0	0	0	0	0	38	37	37	37	37	37	37	75	99	99	99	99	77	37	37	37	37	37	37	37	37	37
0	1	0	0	0	0	0	0	1	0	38	72	37	37	37	37	37	83	85	85	85	85	78	72	37	37	37	37	37	37	37	37
0	2	0	3	4	5	6	0	2	0	60	37	37	37	37	37	37	82	85	85	85	85	85	77	75	99	99	99	99	99	99	77
0	0	7	8	9	10	11	12	0	0	0	60	74	86	37	37	37	37	83	85	85	85	85	85	85	85	85	85	85	85	85	79
0	0	18	17	16	15	14	13	0	1	0	0	0	0	38	37	37	37	83	85	85	85	85	85	85	85	85	85	85	85	85	79
0	0	19	20	21	22	23	24	0	2	0	0	0	0	38	37	37	37	83	85	85	85	85	85	85	85	85	85	85	85	85	79
0	0	30	29	28	27	26	25	0	0	0	0	0	0	60	71	37	37	82	85	85	85	85	85	85	85	85	85	85	85	85	79
0	0	31	32	33	34	35	36	0	0	65	87	66	0	0	0	38	37	37	84	85	85	85	85	85	85	85	85	85	85	85	79
0	0	0	0	38	37	37	37	37	37	37	61	73	0	0	0	38	37	37	84	85	85	85	85	85	85	85	85	85	85	85	79
41	0	0	0	39	37	40	0	0	0	60	71	69	0	0	0	38	37	37	82	85	85	85	85	85	85	85	85	85	85	81	80
42	43	43	44	45	37	46	47	48	49	0	0	50	51	45	0	38	37	37	37	82	81	85	85	85	81	85	85	85	80	37	72
52	53	53	54	55	37	56	54	57	42	44	43	58	59	55	0	60	37	37	37	37	37	37	37	37	37	37	37	37	89	74	86
0	0	0	0	0	37	0	0	0	62	53	63	64	0	0	1	0	38	37	37	37	37	37	37	37	37	37	37	70	68	0	0
67	68	0	0	0	37	0	0	0	0	0	0	0	0	0	2	0	38	37	37	37	37	37	72	37	37	37	37	37	70	66	0
37	69	0	1	0	37	0	0	0	0	0	0	0	0	0	0	0	38	37	37	37	37	37	37	37	37	37	89	74	71	69	0
69	0	1	2	0	37	0	0	0	0	0	65	66	0	0	0	87	37	37	37	37	37	37	37	37	37	37	68	0	0	0	0
0	0	2	0	0	37	67	67	67	67	66	37	70	67	68	87	72	37	37	37	37	37	37	37	37	37	37	70	66	0	0	0
66	0	0	0	0	60	71	71	71	37	73	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
70	66	0	0	0	0	0	65	67	37	37	37	37	37	37	88	88	88	88	88	37	37	90	90	90	90	90	37	73	0	1	0
37	70	67	66	0	0	0	38	37	71	71	71	86	37	72	37	37	37	37	37	37	72	37	37	37	37	37	37	73	0	2	0
37	37	37	37	68	65	67	72	37	69	0	0	87	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
37	37	37	37	37	37	37	73	0	0	0	0	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
37	37	75	76	77	37	37	73	0	0	0	0	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
37	37	84	85	78	37	72	70	68	0	0	0	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	1	0
37	37	83	85	79	37	37	71	69	0	0	1	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	2	0
37	37	82	81	80	37	73	0	0	1	0	2	0	38	37	37	37	37	37	37	72	37	37	37	37	37	37	37	73	0	0	0
37	37	37	37	37	37	73	0	0	2	1	0	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
60	74	71	71	71	71	69	0	1	0	2	0	0	38	72	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	0	0
0	0	0	0	0	0	0	1	2	0	0	1	0	38	37	37	37	37	37	37	72	37	37	37	37	37	37	37	73	0	0	1
0	0	0	1	0	0	0	2	0	0	0	2	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	1	2
48	49	0	2	0	50	51	48	45	0	0	0	0	38	37	37	37	37	37	37	37	37	37	37	37	37	37	37	73	0	2	0
57	42	44	43	43	58	59	57	55	0	0	0	0	60	71	71	71	71	71	71	71	71	71	71	71	71	71	71	69	0	0	0
